# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v2.7 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-04-06T00:00:00.0
# Date end (ISO 8601): 2016-04-09T00:00:00.0
# Latitude (positive North, ISO 19115): 1.3400
# Longitude (positive East, ISO 19115): 103.6800
# Altitude (m): 29.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 1 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-04-06T01:33:00.0/2016-04-06T01:34:00.0;13.4912;8.2980;6.0300;2.2680;10.1729
2016-04-06T01:34:00.0/2016-04-06T01:35:00.0;13.5704;8.3578;6.0781;2.2797;10.1942
2016-04-06T01:35:00.0/2016-04-06T01:36:00.0;13.6494;8.4174;6.1261;2.2913;10.2153
2016-04-06T01:36:00.0/2016-04-06T01:37:00.0;13.7281;8.4768;6.1739;2.3029;10.2360
2016-04-06T01:37:00.0/2016-04-06T01:38:00.0;13.8065;8.5360;6.2216;2.3145;10.2564
2016-04-06T01:38:00.0/2016-04-06T01:39:00.0;13.8847;8.5951;6.2691;2.3260;10.2766
2016-04-06T01:39:00.0/2016-04-06T01:40:00.0;13.9626;8.6540;6.3165;2.3376;10.2965
2016-04-06T01:40:00.0/2016-04-06T01:41:00.0;14.0403;8.7128;6.3637;2.3491;10.3161
2016-04-06T01:41:00.0/2016-04-06T01:42:00.0;14.1176;8.7713;6.4107;2.3606;10.3354
2016-04-06T01:42:00.0/2016-04-06T01:43:00.0;14.1948;8.8297;6.4576;2.3721;10.3544
2016-04-06T01:43:00.0/2016-04-06T01:44:00.0;14.2716;8.8879;6.5044;2.3835;10.3732
2016-04-06T01:44:00.0/2016-04-06T01:45:00.0;14.3482;8.9459;6.5510;2.3949;10.3918
2016-04-06T01:45:00.0/2016-04-06T01:46:00.0;14.4245;9.0037;6.5974;2.4063;10.4100
2016-04-06T01:46:00.0/2016-04-06T01:47:00.0;14.5006;9.0614;6.6437;2.4177;10.4281
2016-04-06T01:47:00.0/2016-04-06T01:48:00.0;14.5763;9.1188;6.6897;2.4291;10.4458
2016-04-06T01:48:00.0/2016-04-06T01:49:00.0;14.6518;9.1761;6.7356;2.4404;10.4633
2016-04-06T01:49:00.0/2016-04-06T01:50:00.0;14.7270;9.2332;6.7814;2.4518;10.4806
2016-04-06T01:50:00.0/2016-04-06T01:51:00.0;14.8019;9.2900;6.8270;2.4631;10.4976
2016-04-06T01:51:00.0/2016-04-06T01:52:00.0;14.8765;9.3467;6.8724;2.4743;10.5144
2016-04-06T01:52:00.0/2016-04-06T01:53:00.0;14.9509;9.4032;6.9176;2.4856;10.5309
2016-04-06T01:53:00.0/2016-04-06T01:54:00.0;15.0250;9.4594;6.9626;2.4969;10.5472
2016-04-06T01:54:00.0/2016-04-06T01:55:00.0;15.0988;9.5155;7.0074;2.5081;10.5632
2016-04-06T01:55:00.0/2016-04-06T01:56:00.0;15.1723;9.5714;7.0521;2.5193;10.5791
2016-04-06T01:56:00.0/2016-04-06T01:57:00.0;15.2455;9.6271;7.0966;2.5305;10.5947
2016-04-06T01:57:00.0/2016-04-06T01:58:00.0;15.3184;9.6825;7.1409;2.5416;10.6101
2016-04-06T01:58:00.0/2016-04-06T01:59:00.0;15.3911;9.7378;7.1850;2.5528;10.6252
2016-04-06T01:59:00.0/2016-04-06T02:00:00.0;15.4634;9.7928;7.2289;2.5639;10.6401
2016-04-06T02:00:00.0/2016-04-06T02:01:00.0;15.5355;9.8476;7.2726;2.5750;10.6548
2016-04-06T02:01:00.0/2016-04-06T02:02:00.0;15.6072;9.9022;7.3162;2.5861;10.6693
2016-04-06T02:02:00.0/2016-04-06T02:03:00.0;15.6787;9.9566;7.3595;2.5971;10.6836
2016-04-06T02:03:00.0/2016-04-06T02:04:00.0;15.7498;10.0108;7.4026;2.6082;10.6977
2016-04-06T02:04:00.0/2016-04-06T02:05:00.0;15.8207;10.0648;7.4456;2.6192;10.7115
2016-04-06T02:05:00.0/2016-04-06T02:06:00.0;15.8913;10.1185;7.4883;2.6302;10.7252
2016-04-06T02:06:00.0/2016-04-06T02:07:00.0;15.9615;10.1720;7.5309;2.6412;10.7386
2016-04-06T02:07:00.0/2016-04-06T02:08:00.0;16.0315;10.2253;7.5732;2.6521;10.7518
2016-04-06T02:08:00.0/2016-04-06T02:09:00.0;16.1011;10.2784;7.6153;2.6631;10.7649
2016-04-06T02:09:00.0/2016-04-06T02:10:00.0;16.1705;10.3312;7.6572;2.6740;10.7777
2016-04-06T02:10:00.0/2016-04-06T02:11:00.0;16.2395;10.3838;7.6989;2.6849;10.7903
2016-04-06T02:11:00.0/2016-04-06T02:12:00.0;16.3083;10.4362;7.7404;2.6958;10.8028
2016-04-06T02:12:00.0/2016-04-06T02:13:00.0;16.3767;10.4883;7.7817;2.7066;10.8150
2016-04-06T02:13:00.0/2016-04-06T02:14:00.0;16.4448;10.5403;7.8228;2.7175;10.8270
2016-04-06T02:14:00.0/2016-04-06T02:15:00.0;16.5126;10.5919;7.8636;2.7283;10.8389
2016-04-06T02:15:00.0/2016-04-06T02:16:00.0;16.5801;10.6434;7.9043;2.7391;10.8506
2016-04-06T02:16:00.0/2016-04-06T02:17:00.0;16.6473;10.6946;7.9447;2.7499;10.8620
2016-04-06T02:17:00.0/2016-04-06T02:18:00.0;16.7141;10.7455;7.9849;2.7606;10.8733
2016-04-06T02:18:00.0/2016-04-06T02:19:00.0;16.7807;10.7963;8.0249;2.7714;10.8844
2016-04-06T02:19:00.0/2016-04-06T02:20:00.0;16.8469;10.8467;8.0646;2.7821;10.8954
2016-04-06T02:20:00.0/2016-04-06T02:21:00.0;16.9128;10.8970;8.1042;2.7928;10.9061
2016-04-06T02:21:00.0/2016-04-06T02:22:00.0;16.9784;10.9470;8.1435;2.8035;10.9167
2016-04-06T02:22:00.0/2016-04-06T02:23:00.0;17.0436;10.9967;8.1826;2.8141;10.9271
2016-04-06T02:23:00.0/2016-04-06T02:24:00.0;17.1086;11.0462;8.2214;2.8248;10.9373
2016-04-06T02:24:00.0/2016-04-06T02:25:00.0;17.1732;11.0955;8.2600;2.8354;10.9473
2016-04-06T02:25:00.0/2016-04-06T02:26:00.0;17.2375;11.1444;8.2984;2.8460;10.9572
2016-04-06T02:26:00.0/2016-04-06T02:27:00.0;17.3014;11.1932;8.3366;2.8566;10.9669
2016-04-06T02:27:00.0/2016-04-06T02:28:00.0;17.3650;11.2417;8.3745;2.8671;10.9764
2016-04-06T02:28:00.0/2016-04-06T02:29:00.0;17.4283;11.2899;8.4122;2.8777;10.9858
2016-04-06T02:29:00.0/2016-04-06T02:30:00.0;17.4913;11.3379;8.4497;2.8882;10.9949
2016-04-06T02:30:00.0/2016-04-06T02:31:00.0;17.5539;11.3856;8.4869;2.8987;11.0040
2016-04-06T02:31:00.0/2016-04-06T02:32:00.0;17.6163;11.4330;8.5239;2.9092;11.0128
2016-04-06T02:32:00.0/2016-04-06T02:33:00.0;17.6782;11.4802;8.5606;2.9196;11.0215
2016-04-06T02:33:00.0/2016-04-06T02:34:00.0;17.7398;11.5272;8.5971;2.9301;11.0300
2016-04-06T02:34:00.0/2016-04-06T02:35:00.0;17.8011;11.5738;8.6333;2.9405;11.0384
2016-04-06T02:35:00.0/2016-04-06T02:36:00.0;17.8621;11.6202;8.6694;2.9509;11.0466
2016-04-06T02:36:00.0/2016-04-06T02:37:00.0;17.9227;11.6663;8.7051;2.9612;11.0547
2016-04-06T02:37:00.0/2016-04-06T02:38:00.0;17.9830;11.7122;8.7406;2.9716;11.0626
2016-04-06T02:38:00.0/2016-04-06T02:39:00.0;18.0429;11.7578;8.7759;2.9819;11.0703
2016-04-06T02:39:00.0/2016-04-06T02:40:00.0;18.1025;11.8031;8.8109;2.9922;11.0779
2016-04-06T02:40:00.0/2016-04-06T02:41:00.0;18.1618;11.8482;8.8457;3.0025;11.0853
2016-04-06T02:41:00.0/2016-04-06T02:42:00.0;18.2207;11.8930;8.8802;3.0128;11.0926
